Planting_ID,Block,Comps,plant_present,present_with_seeds,seeds,glumes,undeveloped,Date_counted,Notes
815,8,n,n,,,,,9/2/2020,
816,8,n,n,,,,,9/2/2020,
817,8,n,n,,,,,9/2/2020,
818,8,n,n,,,,,9/2/2020,
819,8,n,y,y,24,21,5,9/2/2020,green
820,8,n,n,,,,,9/2/2020,
821,8,n,n,,,,,9/2/2020,
822,8,n,n,,,,,9/2/2020,
823,8,n,n,,,,,9/2/2020,
824,8,n,n,,,,,9/2/2020,
825,8,n,n,,,,,9/2/2020,
826,8,n,y,y,21,23,6,9/2/2020,
827,8,n,x,,,,,9/2/2020,tube missing
828,8,n,n,,,,,9/2/2020,
277,3,y,y,n,0,3,0,9/9/2020,
278,3,y,n,,,,,9/9/2020,
279,3,y,n,,,,,9/9/2020,
280,3,y,x,,,,,9/9/2020,"empty envelope, no note"
281,3,y,n,,,,,9/9/2020,
282,3,y,n,,,,,9/9/2020,
283,3,y,n,,,,,9/9/2020,
284,3,y,n,,,,,9/9/2020,
285,3,y,n,,,,,9/9/2020,
286,3,y,n,,,,,9/9/2020,
287,3,y,y,y,3,4,1,9/9/2020,
288,3,y,y,y,7,8,0,9/9/2020,
289,3,y,n,,,,,9/9/2020,
290,3,y,n,,,,,9/9/2020,
291,3,y,n,,,,,9/9/2020,
292,3,y,y,y,3,3,0,9/9/2020,
293,3,y,n,,,,,9/9/2020,
294,3,y,y,y,7,7,0,9/9/2020,a little green
295,3,y,y,y,14,12,0,9/9/2020,
296,3,y,y,n,0,1,1,9/9/2020,immature
297,3,y,n,,,,,9/9/2020,
298,3,y,n,,,,,9/9/2020,
299,3,y,n,,,,,9/9/2020,
300,3,y,y,y,6,4,0,9/9/2020,
301,3,y,n,,,,,9/9/2020,
302,3,y,n,,,,,9/9/2020,
303,3,y,y,y,3,6,0,9/9/2020,
304,3,y,y,y,5,5,0,9/9/2020,
305,3,y,y,y,4,4,0,9/9/2020,
306,3,y,n,,,,,9/9/2020,
307,3,y,n,,,,,9/9/2020,
308,3,y,n,,,,,9/9/2020,
309,3,y,n,,,,,9/9/2020,
310,3,y,n,,,,,9/9/2020,
311,3,y,n,,,,,9/9/2020,
312,3,y,n,,,,,9/9/2020,
313,3,y,n,,,,,9/9/2020,
314,3,y,y,y,2,2,0,9/9/2020,
315,3,y,n,,,,,9/9/2020,
316,3,y,y,y,11,11,0,9/9/2020,
317,3,y,y,y,14,12,0,9/9/2020,
318,3,y,n,,,,,9/9/2020,
319,3,y,y,y,4,4,0,9/9/2020,
320,3,y,x,,,,,9/9/2020,tube missing
321,3,y,n,,,,,9/9/2020,
322,3,y,n,,,,,9/9/2020,
553,6,y,n,,,,,9/9/2020,
554,6,y,y,y,7,7,0,9/9/2020,
555,6,y,n,,,,,9/9/2020,
556,6,y,n,,,,,9/9/2020,
557,6,y,n,,,,,9/9/2020,
558,6,y,y,y,14,13,3,9/9/2020,
559,6,y,n,,,,,9/9/2020,
560,6,y,n,,,,,9/9/2020,
561,6,y,n,,,,,9/9/2020,
562,6,y,n,,,,,9/9/2020,
